neuron_id,class,is_sensor,is_motor
um2aL,unknown,0,0
um2aR,unknown,0,0
um2pL,unknown,0,0
um2pR,unknown,0,0
vBWML1,unknown,0,0
vBWML10,unknown,0,0
vBWML11,unknown,0,0
vBWML12,unknown,0,0
vBWML13,unknown,0,0
vBWML14,unknown,0,0
vBWML15,unknown,0,0
vBWML16,unknown,0,0
vBWML17,unknown,0,0
vBWML18,unknown,0,0
vBWML19,unknown,0,0
vBWML2,unknown,0,0
vBWML20,unknown,0,0
vBWML21,unknown,0,0
vBWML22,unknown,0,0
vBWML23,unknown,0,0
vBWML3,unknown,0,0
vBWML4,unknown,0,0
vBWML5,unknown,0,0
vBWML6,unknown,0,0
vBWML7,unknown,0,0
vBWML8,unknown,0,0
vBWML9,unknown,0,0
vBWMR1,unknown,0,0
vBWMR10,unknown,0,0
vBWMR11,unknown,0,0
vBWMR12,unknown,0,0
vBWMR13,unknown,0,0
vBWMR14,unknown,0,0
vBWMR15,unknown,0,0
vBWMR16,unknown,0,0
vBWMR17,unknown,0,0
vBWMR18,unknown,0,0
vBWMR19,unknown,0,0
vBWMR2,unknown,0,0
vBWMR20,unknown,0,0
vBWMR21,unknown,0,0
vBWMR22,unknown,0,0
vBWMR23,unknown,0,0
vBWMR24,unknown,0,0
vBWMR3,unknown,0,0
vBWMR4,unknown,0,0
vBWMR5,unknown,0,0
vBWMR6,unknown,0,0
vBWMR7,unknown,0,0
vBWMR8,unknown,0,0
vBWMR9,unknown,0,0
vm1aL,unknown,0,0
vm1aR,unknown,0,0
vm1pL,unknown,0,0
vm1pR,unknown,0,0
vm2aL,unknown,0,0
vm2aR,unknown,0,0
vm2pL,unknown,0,0
vm2pR,unknown,0,0
